Title,IF,Q,Publisher,Category,5IF,TITLE Short,Type,Issn_1,Issn_2,None,Country,Region,Coverage,Categories,Areas
Journal of Biomolecular NMR,2.4,Q2,Springer Nature,SPECTROSCOPY,2.1,J BIOMOL NMR,journal,15735001,9252738,15/44,Netherlands,Western Europe,1991-2023,Spectroscopy (Q1); Biochemistry (Q2),"Biochemistry, Genetics and Molecular Biology; Chemistry"
BMC Molecular and Cell Biology,2.4,Q4,BioMed Central Ltd,CELL BIOLOGY,2.5,BMC MOL CELL BIOL,journal,26618850,,158/205,United Kingdom,Western Europe,2019-2023,Cell Biology (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology"
Journal of Cardiovascular Translational Research,2.4,Q3,Springer Nature,"MEDICINE, RESEARCH & EXPERIMENTAL",2.9,J CARDIOVASC TRANSL,journal,19375395,19375387,105/189,United States,Northern America,2008-2023,Pharmaceutical Science (Q1); Cardiology and Cardiovascular Medicine (Q2); Genetics (Q2); Molecular Medicine (Q2); Genetics (clinical) (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Journal of Bone and Mineral Metabolism,2.4,Q3,Springer Nature,"MEDICINE, RESEARCH & EXPERIMENTAL",2.7,J BONE MINER METAB,journal,9148779,14355604,105/189,Japan,Asiatic Region,1988-2023,"Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2)","Biochemistry, Genetics and Molecular Biology; Medicine"
Current Diabetes Reviews,2.4,Q3,Bentham Science Publishers B.V.,ENDOCRINOLOGY & METABOLISM,2.8,CURR DIABETES REV,journal,15733998,18756417,121/186,United Arab Emirates,Middle East,"1996, 2005-2023","Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)","Biochemistry, Genetics and Molecular Biology; Medicine"
Xenotransplantation,3.3,Q2,Wiley,TRANSPLANTATION,2.6,XENOTRANSPLANTATION,journal,13993089,0908665X,Sep-31,United Kingdom,Western Europe,1994-2023,Transplantation (Q1); Immunology (Q2),Immunology and Microbiology; Medicine
Physical and Engineering Sciences in Medicine,2.4,Q2,Springer Nature,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.3,PHYS ENG SCI MED,journal,26624729,26624737,78/204,Netherlands,Western Europe,2020-2023,"Instrumentation (Q1); Biomedical Engineering (Q2); Biophysics (Q2); Biotechnology (Q2); Radiological and Ultrasound Technology (Q2); Radiology, Nuclear Medicine and Imaging (Q2)","Biochemistry, Genetics and Molecular Biology; Engineering; Health Professions; Medicine; Physics and Astronomy"
Fungal Genetics and Biology,2.4,Q3,Academic Press Inc.,MYCOLOGY,3,FUNGAL GENET BIOL,journal,10960937,10871845,17/33,United States,Northern America,1996-2023,Genetics (Q2); Microbiology (Q2),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Biochemistry and Cell Biology,2.4,Q4,National Research Council of Canada,CELL BIOLOGY,2.7,BIOCHEM CELL BIOL,journal,8298211,12086002,158/205,Canada,Northern America,1986-2023,Biochemistry (Q2); Cell Biology (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology"
EFSA Journal,3.3,Q2,Wiley,FOOD SCIENCE & TECHNOLOGY,3.3,EFSA J,journal,18314732,,66/173,United Kingdom,Western Europe,2003-2023,Animal Science and Zoology (Q1); Food Science (Q1); Parasitology (Q1); Plant Science (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2),Agricultural and Biological Sciences; Immunology and Microbiology; Veterinary
Cancer Biotherapy and Radiopharmaceuticals,2.4,Q2,Mary Ann Liebert Inc.,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",2.6,CANCER BIOTHER RADIO,journal,10849785,15578852,78/204,United States,Northern America,1996-2023,"Medicine (miscellaneous) (Q2); Pharmacology (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Cancer Research (Q3); Oncology (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Food Science and Biotechnology,2.4,Q3,Springer Nature,FOOD SCIENCE & TECHNOLOGY,3.2,FOOD SCI BIOTECHNOL,journal,20926456,12267708,97/173,South Korea,Asiatic Region,2007-2023,Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2); Food Science (Q2),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Sexual Development,2.4,Q2,S. Karger AG,DEVELOPMENTAL BIOLOGY,1.9,SEX DEV,journal,16615433,16615425,17/39,Switzerland,Western Europe,2006-2023,"Embryology (Q2); Developmental Biology (Q3); Endocrinology, Diabetes and Metabolism (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine"
Acta Physiologiae Plantarum,2.4,Q2,,PLANT SCIENCES,2.8,ACTA PHYSIOL PLANT,journal,18611664,1375881,96/265,Germany,Western Europe,"1985, 1987-1988, 1993-2023",Agronomy and Crop Science (Q2); Plant Science (Q2); Physiology (Q3),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Current Molecular Pharmacology,2.4,Q3,Bentham Science Publishers,PHARMACOLOGY & PHARMACY,2.8,CURR MOL PHARMACOL,journal,18744702,18744672,188/354,United Arab Emirates,Middle East,2008-2024,Drug Discovery (Q3); Molecular Medicine (Q3); Pharmacology (Q3),"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
Cancer Informatics,2.4,Q3,Libertas Academica Ltd.,ONCOLOGY,2.3,CANCER INFORM,journal,11769351,,193/322,New Zealand,Pacific Region,2005-2023,Cancer Research (Q3); Oncology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
Future Science OA,2.4,Q3,Taylor and Francis Ltd.,"MEDICINE, RESEARCH & EXPERIMENTAL",2.6,FUTUR SCI OA,journal,20565623,,105/189,United Kingdom,Western Europe,2015-2023,Biotechnology (Q2); Medicine (miscellaneous) (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
Molecular Biotechnology,2.4,Q3,Humana Press,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2.6,MOL BIOTECHNOL,journal,15590305,10736085,107/174,United States,Northern America,1994-2023,Applied Microbiology and Biotechnology (Q3); Biochemistry (Q3); Bioengineering (Q3); Biotechnology (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
ATLA Alternatives to Laboratory Animals,2.4,Q3,FRAME,"MEDICINE, RESEARCH & EXPERIMENTAL",2.5,ATLA-ALTERN LAB ANIM,journal,2611929,,105/189,United Kingdom,Western Europe,"1982, 1985-1986, 1988-1989, 1994-2023","Medical Laboratory Technology (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Toxicology (Q3)","Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Current Bioinformatics,2.4,Q2,Bentham Science Publishers B.V.,MATHEMATICAL & COMPUTATIONAL BIOLOGY,1.8,CURR BIOINFORM,journal,15748936,2212392X,24/65,United Arab Emirates,Middle East,2007-2023,Biochemistry (Q3); Computational Mathematics (Q3); Genetics (Q4); Molecular Biology (Q4),"Biochemistry, Genetics and Molecular Biology; Mathematics"
Malaria Journal,2.4,Q2,BioMed Central Ltd,TROPICAL MEDICINE,2.6,MALARIA J,journal,14752875,,28-10-2024 00:00,United Kingdom,Western Europe,2002-2023,Infectious Diseases (Q1); Parasitology (Q1),Immunology and Microbiology; Medicine
Journal of Medical Microbiology,2.4,Q3,Microbiology Society,MICROBIOLOGY,2.5,J MED MICROBIOL,journal,222615,,105/161,United Kingdom,Western Europe,1968-2023,Medicine (miscellaneous) (Q2); Microbiology (Q2); Microbiology (medical) (Q2),Immunology and Microbiology; Medicine
Journal of Immunotoxicology,2.4,Q3,Informa Healthcare,TOXICOLOGY,2.8,J IMMUNOTOXICOL,journal,1547691X,15476901,69/106,United States,Northern America,2004-2023,Toxicology (Q2); Immunology (Q3),"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
Diabetic Medicine,3.2,Q2,Wiley,ENDOCRINOLOGY & METABOLISM,4,DIABETIC MED,journal,14645491,7423071,81/186,United Kingdom,Western Europe,1984-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Current Transplantation Reports,2.4,Q2,Springer Nature,TRANSPLANTATION,,CURR TRANSPLANT REP,journal,21963029,,15/31,United States,Northern America,2014-2023,Nephrology (Q2); Surgery (Q2); Transplantation (Q2); Hepatology (Q3); Immunology (Q3),Immunology and Microbiology; Medicine
FEMS Yeast Research,2.4,Q3,Oxford University Press,MYCOLOGY,2.5,FEMS YEAST RES,journal,15671364,15671356,17/33,United Kingdom,Western Europe,2001-2023,Applied Microbiology and Biotechnology (Q2); Medicine (miscellaneous) (Q2); Microbiology (Q3),Immunology and Microbiology; Medicine
Folia Microbiologica,2.4,Q3,Springer Nature,MICROBIOLOGY,2.5,FOLIA MICROBIOL,journal,18749356,155632,105/161,Netherlands,Western Europe,"1957, 1959-2023",Medicine (miscellaneous) (Q2); Microbiology (Q3),Immunology and Microbiology; Medicine
Cancer Epidemiology,2.4,Q2,Elsevier ,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.7,CANCER EPIDEMIOL,journal,18777821,1877783X,163/403,Netherlands,Western Europe,2009-2023,Cancer Research (Q2); Epidemiology (Q2); Oncology (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Biomechanics,2.4,Q3,Elsevier ,"ENGINEERING, BIOMEDICAL",2.5,J BIOMECH,journal,18732380,219290,73/122,United Kingdom,Western Europe,1968-2023,Rehabilitation (Q1); Biomedical Engineering (Q2); Biophysics (Q2); Orthopedics and Sports Medicine (Q2); Sports Science (Q3),"Biochemistry, Genetics and Molecular Biology; Engineering; Health Professions; Medicine"
Ultrasound in Medicine and Biology,2.4,Q2,Elsevier ,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",2.9,ULTRASOUND MED BIOL,journal,1879291X,3015629,78/204,United States,Northern America,1973-2023,"Acoustics and Ultrasonics (Q1); Biophysics (Q2); Radiological and Ultrasound Technology (Q2); Radiology, Nuclear Medicine and Imaging (Q2)","Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Physics and Astronomy"
Carbohydrate Research,2.4,Q2,Elsevier ,"CHEMISTRY, ORGANIC",2.5,CARBOHYD RES,journal,86215,1873426X,19/58,United Kingdom,Western Europe,1965-2023,Analytical Chemistry (Q2); Organic Chemistry (Q2); Biochemistry (Q3); Medicine (miscellaneous) (Q3),"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
Zeitschrift fur Medizinische Physik,2.4,Q2,Elsevier ,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.5,Z MED PHYS,journal,18764436,9393889,78/204,Germany,Western Europe,2000-2023,"Radiological and Ultrasound Technology (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Biophysics (Q3)","Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
Veterinary Microbiology,2.4,Q1,Elsevier ,VETERINARY SCIENCES,2.6,VET MICROBIOL,journal,3781135,18732542,24/167,Netherlands,Western Europe,1976-2023,Veterinary (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Microbiology (Q3),Immunology and Microbiology; Medicine; Veterinary
Journal of Exercise Science and Fitness,2.4,Q2,Elsevier ,SPORT SCIENCES,2.8,J EXERC SCI FIT,journal,1728869X,,36/127,Singapore,Asiatic Region,2005-2023,"Pharmaceutical Science (Q1); Pharmacology (nursing) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Public Health, Environmental and Occupational Health (Q2); Sports Science (Q2)","Health Professions; Medicine; Nursing; Pharmacology, Toxicology and Pharmaceutics"
PharmaNutrition,2.4,Q3,Elsevier ,PHARMACOLOGY & PHARMACY,2.3,PHARMANUTRITION,journal,22134344,,188/354,Netherlands,Western Europe,2013-2023,Food Science (Q2); Pharmacology (Q3); Pharmacology (medical) (Q3),"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Journal of Studies on Alcohol and Drugs,2.4,Q2,Alcohol Research Documentation Inc.,SUBSTANCE ABUSE,2.7,J STUD ALCOHOL DRUGS,journal,19371888,19384114,27/55,United States,Northern America,2007-2023,Health (social science) (Q1); Toxicology (Q1); Psychiatry and Mental Health (Q2),"Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
Polyhedron,2.4,Q2,Elsevier ,CRYSTALLOGRAPHY,2.1,POLYHEDRON,journal,2775387,,Oct-33,United Kingdom,Western Europe,1982-2023,Inorganic Chemistry (Q3); Materials Chemistry (Q3); Physical and Theoretical Chemistry (Q3),Chemistry; Materials Science
Experimental and Clinical Psychopharmacology,2.4,Q2,American Psychological Association,"PSYCHOLOGY, CLINICAL",2.4,EXP CLIN PSYCHOPHARM,journal,19362293,10641297,65/180,United States,Northern America,1993-2023,Pharmacology (Q2); Pharmacology (medical) (Q2); Psychiatry and Mental Health (Q2),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
European Journal of Clinical Pharmacology,2.4,Q3,Springer Nature,PHARMACOLOGY & PHARMACY,2.5,EUR J CLIN PHARMACOL,journal,316970,14321041,188/354,Germany,Western Europe,1968-2023,Medicine (miscellaneous) (Q2); Pharmacology (Q2); Pharmacology (medical) (Q2),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Clinical and Translational Science,3.1,Q2,Wiley,"MEDICINE, RESEARCH & EXPERIMENTAL",3.6,CTS-CLIN TRANSL SCI,journal,17528062,17528054,87/189,United Kingdom,Western Europe,2008-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q2)","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
Ecotoxicology,2.4,Q3,Springer Nature,TOXICOLOGY,2.7,ECOTOXICOLOGY,journal,9639292,15733017,69/106,Netherlands,Western Europe,1992-2023,"Health, Toxicology and Mutagenesis (Q2); Management, Monitoring, Policy and Law (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Journal of Cardiovascular Development and Disease,2.4,Q2,Multidisciplinary Digital Publishing Institute (MDPI),CARDIAC & CARDIOVASCULAR SYSTEMS,2.6,J CARDIOVASC DEV DIS,journal,23083425,,97/220,Switzerland,Western Europe,2014-2023,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Pharmacology (medical) (Q2)","Medicine; Pharmacology, Toxicology and Pharmaceutics"
Pharmacy Practice,2.4,Q3,Centro de Investigaciones y Publicaciones Farmaceuticas,PHARMACOLOGY & PHARMACY,2.5,PHARM PRACT-GRANADA,journal,1885642X,18863655,188/354,Spain,Western Europe,2006-2023,Pharmacy (Q1); Pharmaceutical Science (Q2),"Health Professions; Pharmacology, Toxicology and Pharmaceutics"
Drug Development and Industrial Pharmacy,2.4,Q3,Informa Healthcare,PHARMACOLOGY & PHARMACY,3.3,DRUG DEV IND PHARM,journal,3639045,15205762,188/354,United States,Northern America,"1974, 1976-2023",Organic Chemistry (Q2); Pharmaceutical Science (Q2); Drug Discovery (Q3); Pharmacology (Q3),"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
British Journal of Clinical Pharmacology,3.1,Q2,Wiley,PHARMACOLOGY & PHARMACY,3.7,BRIT J CLIN PHARMACO,journal,13652125,3065251,126/354,United Kingdom,Western Europe,1974-2023,Pharmacology (Q1); Pharmacology (medical) (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Bioinformatics and Biology Insights,2.3,Q3,Libertas Academica Ltd.,BIOCHEMICAL RESEARCH METHODS,3.7,BIOINFORM BIOL INSIG,journal,11779322,,52/85,New Zealand,Pacific Region,2009-2023,Applied Mathematics (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Biochemistry (Q2); Molecular Biology (Q2),"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
Clinical Endocrinology,3,Q2,Wiley,ENDOCRINOLOGY & METABOLISM,3.5,CLIN ENDOCRINOL,journal,13652265,3000664,88/186,United Kingdom,Western Europe,1972-2023,"Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)","Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Clinical Neurophysiology,2.3,Q3,Lippincott Williams and Wilkins Ltd.,NEUROSCIENCES,2.1,J CLIN NEUROPHYSIOL,journal,15371603,7360258,205/310,United States,Northern America,1984-2023,Medicine (miscellaneous) (Q2); Neurology (Q2); Neurology (clinical) (Q2); Physiology (Q2); Physiology (medical) (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
Clinical Genetics,2.9,Q2,Wiley,GENETICS & HEREDITY,3.5,CLIN GENET,journal,99163,13990004,81/191,United Kingdom,Western Europe,1970-2023,Genetics (Q1); Genetics (clinical) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Current Stem Cell Reports,2.3,Q4,Springer Nature,CELL & TISSUE ENGINEERING,1.7,CURR STEM CELL REP,journal,21987866,,26/31,Switzerland,Western Europe,2015-2023,Developmental Biology (Q2); Genetics (Q2); Cell Biology (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology"
Pathology and Oncology Research,2.3,Q2,Frontiers Media SA,PATHOLOGY,2.4,PATHOL ONCOL RES,journal,15322807,12194956,42/88,Netherlands,Western Europe,"1995-1996, 1998-2023",Medicine (miscellaneous) (Q2); Oncology (Q2); Pathology and Forensic Medicine (Q2); Cancer Research (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
Insect Science,2.9,Q1,Wiley,ENTOMOLOGY,3.1,INSECT SCI,journal,17447917,16729609,15/109,United Kingdom,Western Europe,1994-2023,"Agronomy and Crop Science (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Pharmacology Research and Perspectives,2.9,Q2,Wiley,PHARMACOLOGY & PHARMACY,2.9,PHARMACOL RES PERSPE,journal,20521707,,147/354,United Kingdom,Western Europe,2013-2023,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Neurology (Q2)","Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
Journal of Membrane Biology,2.3,Q3,Springer Nature,PHYSIOLOGY,2.2,J MEMBRANE BIOL,journal,14321424,222631,44/85,United States,Northern America,1969-2023,Biophysics (Q2); Physiology (Q2); Cell Biology (Q3),"Biochemistry, Genetics and Molecular Biology"
Biochemistry (Moscow),2.3,Q3,Pleiades Publishing,BIOCHEMISTRY & MOLECULAR BIOLOGY,2.4,BIOCHEMISTRY-MOSCOW+,journal,62979,16083040,229/313,United States,Northern America,"1972-1980, 1996-2023",Biochemistry (Q2); Biophysics (Q2); Geriatrics and Gerontology (Q2); Medicine (miscellaneous) (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Oral Pathology and Medicine,2.7,Q2,Wiley,PATHOLOGY,2.8,J ORAL PATHOL MED,journal,16000714,9042512,31/88,United Kingdom,Western Europe,1972-2023,Oral Surgery (Q1); Otorhinolaryngology (Q1); Periodontics (Q1); Pathology and Forensic Medicine (Q2); Cancer Research (Q3),"Biochemistry, Genetics and Molecular Biology; Dentistry; Medicine"
Current Cancer Drug Targets,2.3,Q3,Bentham Science Publishers B.V.,ONCOLOGY,3.1,CURR CANCER DRUG TAR,journal,15680096,18735576,201/322,United Arab Emirates,Middle East,2001-2023,Drug Discovery (Q2); Pharmacology (Q2); Cancer Research (Q3); Oncology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
PeerJ,2.3,Q2,PeerJ Inc.,MULTIDISCIPLINARY SCIENCES,2.8,PEERJ,journal,21678359,,47/134,United States,Northern America,2013-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
Molecular Genetics and Genomics,2.3,Q3,Springer Nature,GENETICS & HEREDITY,2.5,MOL GENET GENOMICS,journal,16174615,16174623,108/191,Germany,Western Europe,"1994, 1996-2023",Medicine (miscellaneous) (Q2); Genetics (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
International Journal of Endocrinology,2.3,Q3,Hindawi Publishing Corporation,ENDOCRINOLOGY & METABOLISM,2.7,INT J ENDOCRINOL,journal,16878337,16878345,125/186,United States,Northern America,2009-2023,"Endocrine and Autonomic Systems (Q3); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
Genome,2.3,Q3,National Research Council of Canada,GENETICS & HEREDITY,2.1,GENOME,journal,14803321,8312796,108/191,Canada,Northern America,1987-2023,Biotechnology (Q2); Medicine (miscellaneous) (Q2); Genetics (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
Archives of Microbiology,2.3,Q3,Springer Nature,MICROBIOLOGY,2.6,ARCH MICROBIOL,journal,1432072X,3028933,109/161,Germany,Western Europe,1974-2023,Medicine (miscellaneous) (Q2); Biochemistry (Q3); Genetics (Q3); Microbiology (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
International Journal of Cosmetic Science,2.7,Q2,Wiley,DERMATOLOGY,3.2,INT J COSMETIC SCI,journal,1425463,14682494,33/94,United Kingdom,Western Europe,1979-2023,Chemistry (miscellaneous) (Q2); Colloid and Surface Chemistry (Q2); Dermatology (Q2); Drug Discovery (Q2); Pharmaceutical Science (Q2); Aging (Q4),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Applied Biological Chemistry,2.3,Q3,Springer Nature,FOOD SCIENCE & TECHNOLOGY,2.7,APPL BIOL CHEM,journal,24680842,24680834,99/173,Netherlands,Western Europe,2016-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Organic Chemistry (Q2)","Biochemistry, Genetics and Molecular Biology; Chemistry"
Cellular and Molecular Bioengineering,2.3,Q3,Springer Nature,"ENGINEERING, BIOMEDICAL",2.3,CELL MOL BIOENG,journal,18655025,18655033,76/122,United States,Northern America,2009-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Modeling and Simulation (Q2)","Biochemistry, Genetics and Molecular Biology; Mathematics"
Methods and Protocols,2.3,Q3,Multidisciplinary Digital Publishing Institute (MDPI),BIOCHEMICAL RESEARCH METHODS,2.2,METHOD PROTOCOL,journal,24099279,,52/85,Switzerland,Western Europe,2018-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Biotechnology (Q2); Structural Biology (Q3)","Biochemistry, Genetics and Molecular Biology"
Molecular and Cellular Probes,2.3,Q4,Academic Press,CELL BIOLOGY,2.3,MOL CELL PROBE,journal,10961194,8908508,162/205,United States,Northern America,1987-2023,Cell Biology (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology"
Cryobiology,2.3,Q3,Academic Press Inc.,PHYSIOLOGY,2.4,CRYOBIOLOGY,journal,112240,10902392,44/85,United States,Northern America,1964-2023,"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
Physiological Measurement,2.3,Q3,IOP Publishing Ltd.,PHYSIOLOGY,2.6,PHYSIOL MEAS,journal,9673334,13616579,44/85,United Kingdom,Western Europe,1993-2023,Biophysics (Q2); Biomedical Engineering (Q3); Physiology (Q3); Physiology (medical) (Q3),"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine"
International Journal of Biological Markers,2.3,Q3,Wichtig Publishing Srl,ONCOLOGY,2.3,INT J BIOL MARKER,journal,17246008,3936155,201/322,Italy,Western Europe,1986-2023,Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2); Cancer Research (Q3); Clinical Biochemistry (Q3); Oncology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
Biomedical Reports,2.3,Q3,Spandidos Publications,"MEDICINE, RESEARCH & EXPERIMENTAL",2,BIOMED REP,journal,20499434,20499442,112/189,Greece,Western Europe,2014-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Medicine (miscellaneous) (Q3); Neuroscience (miscellaneous) (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
Archaea,2.3,Q3,Hindawi Publishing Corporation,MICROBIOLOGY,3.2,ARCHAEA,journal,14723646,14723654,109/161,United States,Northern America,2002-2021,"Ecology, Evolution, Behavior and Systematics (Q2); Medicine (miscellaneous) (Q3); Microbiology (Q3); Physiology (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Electronic Journal of Biotechnology,2.3,Q3,Pontificia Universidad Catolica de Valparaiso,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2.5,ELECTRON J BIOTECHN,journal,7173458,,110/174,Chile,Latin America,1998-2023,Applied Microbiology and Biotechnology (Q3); Biotechnology (Q3),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Food Technology and Biotechnology,2.3,Q3,University of Zagreb,FOOD SCIENCE & TECHNOLOGY,3.8,FOOD TECHNOL BIOTECH,journal,13342606,13309862,99/173,Croatia,Eastern Europe,1996-2023,Chemical Engineering (miscellaneous) (Q2); Food Science (Q2); Industrial and Manufacturing Engineering (Q2); Biotechnology (Q3),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering"
Molecular Microbiology,2.6,Q3,Wiley,MICROBIOLOGY,3.2,MOL MICROBIOL,journal,13652958,0950382X,92/161,United Kingdom,Western Europe,1987-2023,Microbiology (Q1); Molecular Biology (Q2),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
SAR and QSAR in Environmental Research,2.3,Q3,Taylor and Francis Ltd.,TOXICOLOGY,2.3,SAR QSAR ENVIRON RES,journal,1029046X,1062936X,71/106,United Kingdom,Western Europe,1993-2023,Bioengineering (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Molecular Medicine (Q4),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Evolution and Development,2.6,Q2,Wiley,GENETICS & HEREDITY,2.5,EVOL DEV,journal,1525142X,1520541X,91/191,United Kingdom,Western Europe,1999-2023,"Ecology, Evolution, Behavior and Systematics (Q1); Developmental Biology (Q2)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Prostate Cancer,2.3,Q3,Hindawi Limited,ONCOLOGY,2.1,PROSTATE CANCER-US,journal,20903111,2090312X,201/322,Egypt,Africa/Middle East,"2011, 2013-2022",Oncology (Q3); Urology (Q3); Cancer Research (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
